ETBL_ID,ETBL_NOM_FR,ETBL_NOM_EN,ETBL_DESC_FR,ETBL_DESC_EN,ETBL_RESERVABLE
7987123,La Montagnarde,La Montagnarde,"Réseau cyclable d'environ 55 km, dont 34 km de piste cyclable. Goûtez à la beauté de la région, parsemée de lacs et de montagnes. Vous sillonnerez tantôt les rives de lacs comme le Memphrémagog, tantôt de magnifiques forêts, sans oublier les beaux paysages naturels du Parc national du Mont-Orford.","This bike network of about 55 km (34 km in bike path). Drink in the beauty of the region and its many lakes and mountains. You'll travel along shores, like that of Lake Memphremagog, through magnificent forests and be treated to the striking scenery of the Parc national du Mont-Orford.",0
7987614,La Cantonnière,La Cantonnière,"Le réseau La Cantonnière offre des sentiers cyclables qui longent la rivière Saint-François et traversent collines et vallées. Les sentiers de la Rive et de la Vallée, d'une longueur de 36 km, font partie de la Route verte alors que le sentier de l'Ardoise, 21 km, croise de magnifiques écosystèmes.","The La Cantonnière network offers bicycle trails that border rivière Saint-François, crossing hills and valleys. The Rive et de la Vallée circuits, stretching 36 km (22 mi), are part of the Route verte, while the Ardoise trail, running 21 km (13 mi), crosses magnificent ecosystems.",0
7987902,L'Estriade,L'Estriade,"L'Estriade et son réseau de 97 km - dont la Campagnarde, la Montérégiade, la Route des Champs, la Villageoise et la Granbyenne - traverse quatre municipalités, soit Granby, le canton de Shefford, Bromont et Waterloo. Asphaltée sur un peu plus de 65 %, elle a été aménagée sur le tracé d'une voie ferrée désaffectée.","The 97-km (60-mi.) Estriade multi-purpose path passes through four municipalities: Granby, Shefford Township, Bromont and Waterloo. Paved on more than 80% of its route, it was built over a former railway line. The city of Bromont added a section called the Villageoise that links the path to the downtown core.",0
7987979,Corridors cyclables des Cheminots - du Littoral - des Beauportois et Rivière Saint-Charles,Bikes trails des Cheminots - du Littoral - des Beauportois et Rivière Saint-Charles,"Les corridors cyclables hors-route totalisant 136 km sont destinés aux cyclistes, piétons, personnes en fauteuil roulant et amateurs de patin à roues alignées. Les corridors, associés à la Route Verte et au sentier Transcanadien, disposent de nombreux points de services municipaux et privés et offrent de beaux panoramas urbains et ruraux.","Bike's corridors totalling 136 km in length accommodate cyclists, pedestrians, people in wheelchairs and inline skaters. The corridors, which are part of the Route Verte and the Trans Canada Trail networks, boasts a number of municipal and private service points as well as splendid urban and rural panoramas.",0
8001624,Fromagerie Au Gré des Champs,Fromagerie Au Gré des Champs,"Cette fromagerie fermière vous propose des fromages au lait cru biologiques uniques. Elle mise sur la qualité de chacun des éléments, du champ de plantes fleuries et aromatiques, à la meule en passant par le troupeau de vaches, pour vous offrir des fromages savoureux.","This cheese factory produces original raw-milk organic cheeses. It builds on the quality of each component involved in the process-from the field of flowering aromatic plants to the herd of cows, to the round of cheese itself-to offer you a delicious selection of cheeses.",0
8002655,Les Jardins Michel Corbeil Inc,The Michel Corbeil Gardens,"Visitez des jardins où les plantes sont classées par thème : les performantes, les impressionnantes, les tolérantes, les jardins Tony-Huber, les jardins urbains, les berges, etc. Découvrez des collections de vivaces rares et uniques en Amérique du Nord. Plus de 2 000 variétés de vivaces. Visite virtuelle des jardins sur le site.","Visit gardens where the plants are categorized by theme: high performance, impressive, tolerant, Tony Huber gardens, urban gardens, banked gardens, etc. Discover collections of rare and unique North American perennials-more than 2,000 varieties. Virtual tour of the gardens available on the site.",0
8010876,Musée d'art contemporain des Laurentides,Musée d'art contemporain des Laurentides,"Musée vous convie à vivre des moments mémorables au contact d¿¿uvres qui vous surprendront. Cet établissement est la plus importante institution muséale au nord de Montréal. Fenêtre ouverte sur l¿art et la vie, le musée se veut un lieu vivant accessible à tous.","Enjoy a memorable visit to this museum, which boasts artworks sure to impress. The largest museum north of Montréal, this institution¿s reach extends far beyond the borders of the Laurentides region. Offering a window onto art and life, the museum strives to provide a lively program accessible to all.",0
8093885,Centre de villégiature Dam-en-Terre,Centre de villégiature Dam-en-Terre,"Ce centre de villégiature vous offre une superbe plage de sable fin avec baignade, pataugeoire géante chauffée sous surveillance, volley-ball, miniputt, kayak, canot, pédalo... Tout a été pensé pour une journée exceptionnelle dans un site exceptionnel.","This resort centre boasts a superb beach of fine sand offering great swimming, a huge heated wading pool that's supervised, volleyball, mini-putt, kayaking, canoeing, pedal-boating... Everything you need to spend an exceptional day in exceptional surroundings.",0
8094577,Camping plage Blanchet,Camping plage Blanchet,"Wow! 600 m de plage en bordure du majestueux lac Saint-Jean. Au total, 164 emplacements de camping avec tables de pique-nique, cuve à feu, blocs sanitaires et aire de jeu. Non loin de Desbiens, vous serez au coeur du circuit touristique régional. Véloroute et principaux attraits à proximité.","Wow! A 600-m (2,000-ft.) sandy beach on the shores of magnificent Lac Saint-Jean. Over a hundred campsites with picnic tables, firepits, comfort stations and playground. Not far from Desbiens, it's in the heart of the regional tourist circuit. Bike path and main attractions nearby.",0
8094948,Vauvert-sur-le-lac-Saint-Jean,Vauvert-sur-le-lac-Saint-Jean,"Vauvert-sur-le-lac-Saint-Jean est un complexe touristique situé sur les rives du majestueux lac Saint-Jean. De nombreuses activités et services sont disponibles sur le site en plus de la plage : camping, location de chalets, location de kayaks, théâtre d'été, ainsi que plusieurs autres activités festives.","Vauvert-sur-le-lac-Saint-Jean is a tourist complex set on the shores of majestic Lac Saint-Jean. In addition to the beach, services include camping, cottage rentals, kayak rentals, summer theatre, and a variety of other fun activities.",0
