Nom de la borne de recharge,Nom du parc,Adresse,Niveau de recharge,Latitude,Longitude,Coût
AAA-10945 ,P-02 Garage Louis-Colin (Niveau 5),"5255 Avenue Louis-Colin, Montréal, QC, H3T 1T3",Level2,45.500196,-73.617303,"1,00 $ (CAD) de l'heure"
AAB-12112,SQI - Palais de justice de Rimouski,"335 Rue Moreault, Rimouski, QC, G5L 9C8",Level2,48.46127,-68.51688,"1,00 $ (CAD) de l'heure"
AAB-11043,Station Roulez Électrique,"519 rue des Volontaires, Trois-Rivières, QC, G9A 2E7",Level2,46.343128,-72.545265,"1,00 $ (CAD) de l'heure"
AAA-571,CSP - Centre administratif Roberval,"1740, rue Roberval, Saint-Bruno-de-Montarville, QC, J3V 3R3",Level2,45.523376,-73.339185,"1,00 $ (CAD) de l'heure"
AAB-13535,Capilano River Regional Park - Cleveland Dam,"5077 Capilano Road, North Vancouver, BC, V7R 4K4",Level2,49.359207,-123.106685,"0,00 $ (CAD) par session"
AAA-10246,Laurier Québec - Phase II,"2700 boul. Laurier, Québec, QC, G1V 4J9",Level2,46.769731,-71.285101,"1,00 $ (CAD) de l'heure"
AAA-10267,Benny & Co. - Ste-Dorothée,"740 rue Desserte Ouest, Laval, QC, H7X 3S9",Level2,45.527709,-73.782017,"1,00 $ (CAD) de l'heure"
AAB-13352,Palais de justice de Saint-Joseph-de-Beauce,"795 Avenue du Palais , Saint-Joseph-de-Beauce, QC, G0S 2V0",Level2,46.309187,-70.87969,"0,00 $ (CAD) de l'heure"
AAA-141,Édifice de la Haute-Ville Québec,"700 boul. René-Lévesque Est, Québec, QC, G1R 5A9",Level2,46.80943,-71.218189,"1,00 $ (CAD) de l'heure"
AAA-10614,Via Rail Inc. - Toronto Maintenance Centre,"50C Drummond St., Etobicoke, ON, M8V 4B5",Level2,43.609436,-79.507395,"2,00 $ (CAD) par session"
AAA-157,Le 1000 de la Gauchetière,"1000 de la Gauchetière, Montréal, QC, H3B 4W5",Level2,45.498097,-73.566167,"1,00 $ (CAD) de l'heure"
AAB-11727,South Surrey Recreation Centre,"14601 20th Ave, Surrey, BC, V4A 9P5",Level2,49.040341,-122.8178,"0,00 $ (CAD) de l'heure"
AAA-10135,Oshawa Centre,"419 King St West, Oshawa, ON, L1J 2K5",Level2,43.891429,-78.878589,"0,00 $ (CAD) de l'heure"
AAA-10126,CSDA-École Valmont-sur-Parc,"1155 Boulevard Basile-Routhier, Repentigny, QC, J5Y 4C5",Level2,45.776633,-73.438778,"1,00 $ (CAD) de l'heure"
AAA-10874,McMaster University - Gerald Hatch Centre,"1280, Main St. West, Hamilton, ON, L8S 4L7",Level2,43.2601379,-79.9204095,"0,00 $ (CAD) par session"
AAA-114,Aéroport Jean-Lesage,"505 rue Principale, Québec, QC, G2G 0J4",Level2,46.791371,-71.381877,"0,15 $ (CAD) de l'heure"
AAB-10468,PCI Marine Gateway P2,"489 Interurban Way, Vancouver, BC, V5X 0C7",Level2,49.209422,-123.1165,"0,00 $ (CAD) de l'heure"
AAA-10292,FLO - Canadian Tire - London South,"1115 Wellington Road South, London, ON, N6E 1M1",Level2,42.9308856,-81.221,"1,50 $ (CAD) de l'heure"
AAA-10279,County of Oxford - 21 Reeve St,"21 Reeve St., Woodstock, ON, N4S 3G1",Level2,43.129756,-80.755021,"2,00 $ (CAD) de l'heure"
AAA-515,Halton Hills - Acton Arena,"415 Queen St., Acton, ON, L7J 2N2",Level2,43.642197,-80.026011,"0,00 $ (CAD) de l'heure"
AAA-10173,Édifices Norbrooke,"1998 Rue Prospect, Sherbrooke, QC, J1J 1K7",Level2,45.408343,-71.92331,"1,50 $ (CAD) de l'heure"
AAB-13159,SQI - Palais de justice de Rivière-du-Loup,"33 De la Cour, Rivière-du-Loup, QC, G5R 1J1",Level2,47.836557,-69.540058,"1,00 $ (CAD) de l'heure"
AAA-10693,Kingston - Clarence Street,"67 Clarence St, Kingston, ON, K7L 1X2",Level2,44.230062,-76.482513,"0,00 $ (CAD) de l'heure"
AAA-10584,FLO - Simcoe Place- P2 Level,"200 Front st W, Toronto, ON, M5V 3K2",Level2,43.644719,-79.385781,"1,50 $ (CAD) de l'heure"
AAB-12613,Kingston - Cataraqui Community Center,"1030 Sunnyside Road, Kingston, ON, K7P 2Y2",Level2,44.279769,-76.55037,"0,00 $ (CAD) par session"
AAB-13059,North York Center,"5160, Yonge Street, Toronto, ON, M2N 6L9",Level2,43.768915,-79.414013,"1,05 $ (CAD) de l'heure"
AAA-433,Oxford - 1250 bld. René-Lévesque O.,"1250 boul. René-Lévesque, Montréal, QC, H3B 2G4",Level2,45.49756,-73.571169,"1,00 $ (CAD) de l'heure"
AAB-13447,Palais de justice de Saint-Joseph-de-Beauce,"795 Avenue du Palais , Saint-Joseph-de-Beauce, QC, G0S 2V0",Level2,46.309187,-70.87969,"0,00 $ (CAD) de l'heure"
AAB-11310,Brampton - Springdale Library - Komagata Maru Park ,"10705 Bramalea Rd, Brampton, ON, L6R 0C1",Level2,43.758284,-79.7605,"0,00 $ (CAD) de l'heure"
AAA-10820,Wilfrid Laurier University - Market Square,"161, Dalhousie Street, Brantford, ON, N3T 2J5",Level2,43.139179,-80.260825,"0,00 $ (CAD) de l'heure"
AAC-00028,BC Hydro - Cranbrook,"38 Cranbrook St N, Cranbrook, BC, V1C 3P6",FastDC,49.513101,-115.766708,"0,00 $ (CAD) de l'heure"
AAB-12067,SQI - Palais de Justice St-Jérôme,"25 De Martigny O, Saint-Jérôme, QC, J7Y 4Z1",Level2,45.779056,-74.009056,"1,00 $ (CAD) de l'heure"
AAB-11523,BCIT - Aerospace Campus,"3800 Cessna Dr, Richmond, BC, V7B 0A1",Level2,49.186426,-123.143954,"0,00 $ (CAD) par session"
AAB-13134,Parent Avenue Pharmacy,"860, Tecumseh Road East, Windsor, ON, N8X 2S5",Level2,42.299522,-83.012098,"0,00 $ (CAD) par session"
AAA-10562,Ivanhoé Cambridge - Place Ste-Foy Stationnement Phase 2,"2450 Boulevard Laurier, Québec, QC, G1V 2L1",Level2,46.773683,-71.281018,"1,00 $ (CAD) de l'heure"
AAA-596,Dieppe - 432 rue Melanson,"432 chemin Melanson, Dieppe, NB, E1A 1A6",Level2,46.071249,-64.715985,"0,00 $ (CAD) de l'heure"
AAA-10857,FLO - IGA Louise Ménard,"30 Place du commerce, Verdun, QC, H3E 1V7",Level2,45.468299,-73.53985,"1,50 $ (CAD) de l'heure"
AAA-10401,Powell River - City Hall,"6910 Duncan St, Powell River, BC, V8A 1V4",Level2,49.835459,-124.524283,"0,00 $ (CAD) de l'heure"
AAA-10731,City of Kingston - Invista Centre (Level 2),"1350, Gardiners Road, Kingston , ON, K7P 2Y2",Level2,44.274971,-76.567766,"0,00 $ (CAD) par session"
AAA-10648,CS Beauce-Etchemin - SBDRM-00081,"1925, 118e rue, St-Georges, QC, G5Y 7R7",Level2,46.12791,-70.663757,"1,00 $ (CAD) de l'heure"
AAA-306,Okanagan College - Penticton Campus,"583 Duncan Ave, West Penticton, BC, V2A 8E1",Level2,49.486946,-119.603652,"0,00 $ (CAD) de l'heure"
AAA-153,Centre Rockland,"2305 Rockland, Montréal, QC, H3P 3E9",Level2,45.528118,-73.647587,"1,00 $ (CAD) de l'heure"
AAA-514,La Plaza de la Mauricie,"1 rue La Plaza-de-Mauricie, Shawinigan, QC, G9N 7C1",Level2,46.561878,-72.73948,"1,00 $ (CAD) de l'heure"
AAB-11342,COMPLEXE FTQ - Fonds de solidarité - 545 Crémazie ,"545 boul. Crémazie E,  Montréal, QC, H2M 1R6",Level2,45.546308,-73.638607,"1,00 $ (CAD) de l'heure"
AAA-212,Centropolis,"190 Promenade du Centropolis, Laval, QC, H7T 2Z6",Level2,45.56014,-73.744648,"1,00 $ (CAD) de l'heure"
AAB-12063,SQI - Place Laval,"5 Place Laval, Laval, QC, H7N 0C1",Level2,45.579843,-73.703744,"1,00 $ (CAD) de l'heure"
AAB-11525,SQI - Complexe Scientifique Quebec,"2700 rue Einstein, Quebec, QC, G1P 3W8",Level2,46.792106,-71.30873,"1,00 $ (CAD) de l'heure"
AAB-11311,Brampton - Springdale Library - Komagata Maru Park ,"10705 Bramalea Rd, Brampton, ON, L6R 0C1",Level2,43.758284,-79.7605,"0,00 $ (CAD) de l'heure"
AAB-10460,PCI Marine Gateway P1,"489 Interurban Way, Vancouver, BC, V5X 0C7",Level2,49.209422,-123.1165,"0,00 $ (CAD) de l'heure"
NBA-10008,NBP - IOL St. André,"121 Route 255, St Andre, NB, E3Y 3N7",Level2,47.0770675,-67.7674126,"1,50 $ (CAD) de l'heure"
AAA-470,Mail Montenach,"600 Boulevard Sir-Wilfrid-Laurier, Beloeil, QC, J3G 4J2",Level2,45.562671,-73.21066,"1,00 $ (CAD) de l'heure"
AAB-12075,SQI - Palais de Justice St-Jérôme,"25 De Martigny O, Saint-Jérôme, QC, J7Y 4Z1",Level2,45.779056,-74.009056,"1,00 $ (CAD) de l'heure"
AAB-12055,SQI - Poste SQ Ste-Agathe-des-Monts,"501 Rue Léonard , Sainte-Agathe-des-Monts, QC, J8C 0B5",Level2,46.041452,-74.2695,"1,00 $ (CAD) de l'heure"
AAA-427,CrossChasm Technologies,"2-60 Northland Road, Waterloo, ON, N2V 2B8",Level2,43.508688,-80.53153,"1,00 $ (CAD) de l'heure"
AAC-00029,FortisBC - Creston Cook St. Parking Lot,"1102 Cook street, Creston, BC, V0B 1G4",FastDC,49.094947,-116.511631,"18,00 $ (CAD) de l'heure"
AAA-10445,FLO - CF Lime Ridge Mall,"999 Upper Wentworth St., Hamilton, ON, L9A 4X5",Level2,43.217348,-79.86265,"1,50 $ (CAD) de l'heure"
AAA-177,Galeries de Hull,"320 boul. St-Joseph, Gatineau, QC, J8Y 3Y8",Level2,45.441495,-75.731767,"1,00 $ (CAD) de l'heure"
AAB-12676,County of Lambton 8 - Lambton Heritage Museum,"10035 Museum Road, Grand Bend, ON, N0M 1T0",Level2,43.251586,-81.81504,"1,91 $ (CAD) de l'heure"
AAA-11003,P-3744 Jean-Brillant,"3744 Rue Jean-Brillant, Montréal, QC, H3T 1P1",Level2,45.495237,-73.621813,"1,00 $ (CAD) de l'heure"
AAA-10230,Tsawwassen Walmart (1181),"5143 Canoe Pass Way, Delta (Tsawwassen), BC, V4M 4G8",Level2,49.042144,-123.0813,"0,00 $ (CAD) de l'heure"
AAA-10288,FLO - Canadian Tire - London South,"1115 Wellington Road South, London, ON, N6E 1M1",Level2,42.9308856,-81.221,"1,50 $ (CAD) de l'heure"
AAB-11761,ARQ - 3800 rue Marly,"3800 rue Marly, Québec, QC, G1X 4A5",Level2,46.751967,-71.331799,"1,00 $ (CAD) de l'heure"
AAB-11987,IA - Crémazie,"1611 Boul Crémazie E, Montréal, QC, H2M 2R9",Level2,45.553932,-73.625066,"1,00 $ (CAD) de l'heure"
