ETBL_ID,ADR_ID,ADR_GENRE_ID,ADR_GENRE_FR,ADR_GENRE_EN,ADR_PRINCIPALE,ADR_CIVIQUE,ADR_MUNICIPALITE,ADR_PROVINCE,ADR_PAYS,ADR_CODE_POSTAL,ADR_PNT_SERVC_FR,ADR_PNT_SERVC_EN,ADR_PNT_SERVC_DEFAUT,ADR_LATITUDE,ADR_LONGITUDE,ADR_COMMENT_FR,ADR_COMMENT_EN
5888171,396791019,7,Exploitation,Operations,1,"671, ch. Maple",Sutton,Québec,Canada,J0E2K0,Mont Sutton,Mont Sutton,0,45.104678,-72.561736,,
5888872,5888893,7,Exploitation,Operations,1,"1000, ch. des Loisirs",La Malbaie,Québec,Canada,G5A1Y8,,,1,47.77202,-70.106957,,
5890836,5890844,7,Exploitation,Operations,1,"121, chemin des Appalaches Est",L'Islet,Québec,Canada,G0R1X0,,,1,47.094315,-70.27865,,
5890970,5890976,7,Exploitation,Operations,1,"705, rue du Moulin-Larochelle",Lévis,Québec,Canada,G6Z1X6,,,1,46.7400444,-71.2027334,,
5891274,96288399,7,Exploitation,Operations,1,"1940, 4e Rue C.P. 43040",Lévis,Québec,Canada,G6W7N2,,,1,46.7424106,-71.230368,,
5891344,5891354,7,Exploitation,Operations,1,"1, rue du Golf",Thetford Mines,Québec,Canada,G6G7Z9,,,1,46.097162,-71.288255,,
5905104,5905136,7,Exploitation,Operations,1,"825, rang St-Esprit",L'Épiphanie,Québec,Canada,J5X2M5,,,1,45.88391,-73.500462,,
5906012,5906029,7,Exploitation,Operations,1,Bureau d'information touristique de Saint-Donat 536 rue Principale,Saint-Donat,Québec,Canada,J0T2C0,,,1,46.317422,-74.221026,,
5906926,45016042,7,Exploitation,Operations,1,"2650, rte Louis-Cyr",Saint-Jean-de-Matha,Québec,Canada,J0K2S0,,,1,46.2912081,-73.5620699,,
5907103,5907120,7,Exploitation,Operations,1,"1085, rang du Havre Familial",Sainte-Béatrix,Québec,Canada,J0K1Y0,,,1,46.235903,-73.646765,,
5907525,44862607,7,Exploitation,Operations,1,"2650, rte Louis-Cyr C.P. 1578",Saint-Jean-de-Matha,Québec,Canada,J0K2S0,,,1,46.28873,-73.561063,,
5907773,5907785,7,Exploitation,Operations,1,"220, ch. de la Montagne-Coupée",Saint-Jean-de-Matha,Québec,Canada,J0K2S0,,,1,46.20145,-73.506454,,
5909244,20193536,7,Exploitation,Operations,1,"2155, montée Sainte-Thérèse",Saint-Jérôme,Québec,Canada,J5L2L2,,,1,45.843375,-74.073837,,
5909455,20269327,7,Exploitation,Operations,1,"Golf et auberge L'Oasis, 424, rte du Nord (route 327)",Brownsburg-Chatham,Québec,Canada,,,,1,45.677746,-74.375521,,
5910712,5910733,7,Exploitation,Operations,1,"4265, Chemin de La Macaza",Rivière-Rouge,,,,Chalet d'accueil - secteur L'Annonciation,Visitors centre - sector L'Annonciation,1,46.407801,-74.850111,,
5920513,20269220,7,Exploitation,Operations,1,"539, ch. St-Bernard C.P. 2632",Mont-Tremblant,Québec,Canada,J8E1B1,,,1,46.181067,-74.5694771,,
5923143,5923296,209089734,Lieu de l'événement,Site of event,1,"2435, rue de l'Église",Val-David,Québec,Canada,J0T2N0,1001 Pots,1001 Pots,1,46.028574,-74.208992,,
5923360,5923383,7,Exploitation,Operations,1,"2, ch. du Lac-des-Sables",Sainte-Agathe-des-Monts,Québec,Canada,J8C2Z7,,,1,46.0298863,-74.2873213,,
5923557,5924313,209089734,Lieu de l'événement,Site of event,1,"260, rue Caron",Saint-Jean-Port-Joli,Québec,Canada,G0R3G0,Parc des Trois-Bérets,Parc des Trois-Bérets,1,47.2119122,-70.2699247,Autres lieux &agrave; Saint-Jean-Port-Joli et &agrave; L'Islet,Other locations in Saint-Jean-Port-Joli and L'Islet
5923892,5923922,7,Exploitation,Operations,1,"2060, ch. des Hauteurs",Saint-Hippolyte,Québec,Canada,,,,1,45.924095,-74.020032,,
5925400,5925433,7,Exploitation,Operations,1,"2830, rang St-Elzéar E.",Laval,Québec,Canada,H7E4P2,Centre communautaire Philémon-Gascon,Centre communautaire Philémon-Gascon,1,45.622187,-73.698725,,
5926734,5926742,7,Exploitation,Operations,1,"320, 6e Rang",Saint-Ferdinand,Québec,Canada,G0N1N0,,,1,46.118168,-71.605282,,
5926937,5926947,7,Exploitation,Operations,1,"Village Québécois d'Antan, 1425, rue Montplaisir",Drummondville,Québec,Canada,J2C5S7,,,1,45.894685,-72.487084,,
5929941,15094714,7,Exploitation,Operations,1,"61 Marie-Rollet, C.P. 1",La Tuque,Québec,Canada,G9X3P1,,,1,47.418796,-72.791119,,
5959123,5959183,7,Exploitation,Operations,1,2800 chemin Lotbinière,Saint-Lazare,Québec,Canada,J7T3H9,,,1,45.382133,-74.184159,,
5970369,5970387,7,Exploitation,Operations,1,"392, rue Notre-Dame",Montebello,Québec,Canada,J0V1L0,,,1,45.649898,-74.950018,,
5972734,5972746,7,Exploitation,Operations,1,"375, rue de l'Aventure",Québec,Québec,Canada,G2M1N3,,,1,46.908155,-71.295766,,
5976663,5976701,7,Exploitation,Operations,1,"169, ch. Staines",Sutton,Québec,Canada,J0E2K0,,,1,45.040327,-72.56622,,
5978022,5978092,7,Exploitation,Operations,1,"451, boul. Gauthier",Portneuf,Québec,Canada,G0A2Y0,,,1,46.713068,-71.888824,,
5979545,6116881,7,Exploitation,Operations,1,"Réserve faunique des Laurentides Km 94, route 175",,,,,Camp Mercier,Camp Mercier,1,47.231743,-71.222423,,
5980752,5980773,7,Exploitation,Operations,1,"115, rte de Val-d'Irène",Sainte-Irène,Québec,Canada,G0J2P0,,,1,48.471769,-67.57286,,
5981306,15068807,7,Exploitation,Operations,1,"200, 5e Rang C.P. 339",Saint-Alban,Québec,Canada,G0A3B0,,,1,46.766948,-72.157753,,
5984468,5984493,7,Exploitation,Operations,1,"3180, rue Laberge",Québec,Québec,Canada,G1X4B5,,,1,46.786848,-71.334104,,
5985146,5985160,7,Exploitation,Operations,1,"1226, rang Notre-Dame",Saint-Raymond,Québec,Canada,G3L1N4,,,1,46.9125052,-71.8138684,,
5985836,5986150,7,Exploitation,Operations,1,"74, rue des Érables",Cap-Chat,Québec,Canada,G0J1E0,,,1,49.036088,-66.709971,,
5986732,5986752,7,Exploitation,Operations,1,"4885, ch. St-Benoit",Saguenay,Québec,Canada,G7X7V5,,,1,48.39719,-71.3185,,
5999210,5999226,7,Exploitation,Operations,1,"1250, ch. de St-Edgar",New Richmond,Québec,Canada,G0C2B0,,,1,48.2402787,-65.7209352,,
